
# Original

### 1) Tf-idf Vectorizer
   NAME                   ,     PRECISION       ,    RECALL           ,     F1 SCORE        ,   ACCURACY
['CalibratedClassifierCV', 0.5032258064516129, 0.03886397608370702, 0.07215541165587418, 0.8211961850432302]
['SGDClassifier', 0.23306233062330622, 0.04285002491280518, 0.0723905723905724, 0.8035475532578661]
['KNeighborsClassifier', 0.3710099424385139, 0.35326357747882414, 0.361919346605411, 0.7771637400837864]
['MLPClassifier', 0.4036926147704591, 0.40308918784255104, 0.40339067564198455, 0.7867011320082004]
### Grouping
When we breaked the sentences to contain only the middle context it was observed that comma seperated BR's had a disadvantage as in some sentences that was taken as middle context, and no other words appeared. So to get more out the context of the surronding words around BR, BR's appearing together were grouped into a single BR entity.

### 1. Tf-idf Vectorizer
['BernoulliNB', 0.45892351274787535, 0.08071748878923767, 0.13728813559322034, 0.8185221499242357]
['RandomForestClassifier', 0.7466666666666667, 0.22321873442949677, 0.3436900652090526, 0.8474908637133435]
['BaggingClassifier', 0.5653518948182521, 0.36422521175884404, 0.443030303030303, 0.8361707817095998]
['ExtraTreesClassifier', 0.6566666666666666, 0.1963129048330842, 0.3022631377061757, 0.837864337284963]
['DecisionTreeClassifier', 0.5066505441354293, 0.4175386148480319, 0.4577984157334062, 0.8230680096265264]
['CalibratedClassifierCV', 0.6006493506493507, 0.3687095166915795, 0.4569311515899969, 0.8432124075229521]
['SGDClassifier', 0.6272264631043257, 0.24564025909317388, 0.35302542069459364, 0.8389339513325609]
['MLPClassifier', 0.5603900975243811, 0.3721973094170404, 0.4473053892215569, 0.8354577056778679]
## Word2Vec

#### a. xmlOriginalSen
['BernoulliNB', 0.33084808946877914, 0.5306427503736921, 0.40757749712973596, 0.7240395757197611]
['RandomForestClassifier', 0.6291079812206573, 0.06676631788739412, 0.12072072072072072, 0.8260094482574204]
['BaggingClassifier', 0.5025125628140703, 0.09965122072745392, 0.16632016632016633, 0.8212853195471967]
['ExtraTreesClassifier', 0.4540682414698163, 0.08619830592924764, 0.14489112227805698, 0.8179873429004367]
['DecisionTreeClassifier', 0.25927758535378526, 0.2610861983059293, 0.2601787487586891, 0.7343791781798734]
['CalibratedClassifierCV', 0.430635838150289, 0.07424015944195317, 0.12664683382915431, 0.8168285943488724]
['SGDClassifier', 0.37100213219616207, 0.08669656203288491, 0.14054927302100165, 0.8103217755593191]
['KNeighborsClassifier', 0.38645418326693226, 0.28998505231689087, 0.33134073441502987, 0.7906230501827257]
['MLPClassifier', 0.44591904445919045, 0.33482810164424515, 0.3824701195219123, 0.8065781263927266]
#### b. xmlReplaceBR
['BernoulliNB', 0.3319824383654171, 0.489785749875436, 0.39573268921095006, 0.7324182190926107]
['RandomForestClassifier', 0.625, 0.07972097658196313, 0.14140521431727796, 0.8268116587931188]
['BaggingClassifier', 0.585812356979405, 0.127553562531141, 0.2094926350245499, 0.8277921383367501]
['ExtraTreesClassifier', 0.4100877192982456, 0.0931738913801694, 0.1518473406414941, 0.8137980212140119]
['DecisionTreeClassifier', 0.27318803852002027, 0.26856003986048826, 0.2708542713567839, 0.7413316694892593]
['CalibratedClassifierCV', 0.5138888888888888, 0.09217737917289487, 0.15631601182931984, 0.8219983955789286]
['SGDClassifier', 0.2527627557018575, 0.5356253114100648, 0.3434504792332268, 0.6336571886977449]
['KNeighborsClassifier', 0.3536784741144414, 0.32336821126058796, 0.33784487246225925, 0.773241821909261]
['MLPClassifier', 0.3760761214318079, 0.41355256601893375, 0.3939250118652112, 0.7723504768695962]
#### c. csv_2_groupBR12
['BernoulliNB', 0.33161622665808116, 0.5132037867463877, 0.40289458243692555, 0.72787235939032]
['RandomForestClassifier', 0.6736842105263158, 0.0637767812655705, 0.11652253072371414, 0.8269899278010517]
['BaggingClassifier', 0.5335120643431636, 0.09915296462381665, 0.16722689075630254, 0.8233354131384258]
['ExtraTreesClassifier', 0.47645429362880887, 0.08570004982561036, 0.14527027027027029, 0.8195917639718335]
['DecisionTreeClassifier', 0.2731614135625597, 0.2850024912805182, 0.27895635210924163, 0.7364292717711026]
['CalibratedClassifierCV', 0.4226190476190476, 0.07075236671649228, 0.12121212121212123, 0.8164720563330065]
['SGDClassifier', 0.35291595197255576, 0.41006477329347285, 0.3793500806637474, 0.7599607808182548]
['KNeighborsClassifier', 0.40349740932642486, 0.31041355256601894, 0.35088707406364406, 0.7945449683572511]
['MLPClassifier', 0.40357330530740937, 0.38266068759342303, 0.3928388746803069, 0.7883946875835636]
### Tokenization
Till now we were spliting the sentences using white space seperator. So the problem was the brackets were considered together with the words and not seperately. So before getting the vector we tokenize the sentence using nltk package function. This is only for word2vec

## Word2Vec

#### a. xmlOriginalSen
['BernoulliNB', 0.33084808946877914, 0.5306427503736921, 0.40757749712973596, 0.7240395757197611]
['RandomForestClassifier', 0.5892857142857143, 0.06576980568011959, 0.1183325862841775, 0.8246724306979232]
['BaggingClassifier', 0.4753246753246753, 0.09118086696562033, 0.1530100334448161, 0.8194134949639005]
['ExtraTreesClassifier', 0.5265700483091788, 0.10861983059292477, 0.18009087154068565, 0.8230680096265264]
['DecisionTreeClassifier', 0.29411764705882354, 0.2914798206278027, 0.2927927927927928, 0.7481058917907122]
['CalibratedClassifierCV', 0.430635838150289, 0.07424015944195317, 0.12664683382915431, 0.8168285943488724]
['SGDClassifier', 0.20846905537459284, 0.03188839063278525, 0.05531547104580812, 0.8051519743292629]
['KNeighborsClassifier', 0.38645418326693226, 0.28998505231689087, 0.33134073441502987, 0.7906230501827257]
['MLPClassifier', 0.41857585139318887, 0.3368211260587942, 0.3732744340143567, 0.797664675996078]
#### b. xmlReplaceBR
['BernoulliNB', 0.3319824383654171, 0.489785749875436, 0.39573268921095006, 0.7324182190926107]
['RandomForestClassifier', 0.6887966804979253, 0.08271051320378675, 0.14768683274021352, 0.8292182904002139]
['BaggingClassifier', 0.49304174950298213, 0.12356751370204284, 0.19760956175298805, 0.8204831090114983]
['ExtraTreesClassifier', 0.5467980295566502, 0.11061285500747384, 0.1840033153750518, 0.8244941616899902]
['DecisionTreeClassifier', 0.25927861996863566, 0.2471350274040857, 0.2530612244897959, 0.7390141723861307]
['CalibratedClassifierCV', 0.5138888888888888, 0.09217737917289487, 0.15631601182931984, 0.8219983955789286]
['SGDClassifier', 0.4494195688225539, 0.13502740408570005, 0.20766283524904214, 0.8156698457973082]
['KNeighborsClassifier', 0.3536784741144414, 0.32336821126058796, 0.33784487246225925, 0.773241821909261]
['MLPClassifier', 0.387683284457478, 0.32934728450423517, 0.35614224137931033, 0.7869685355200998]
#### c. csv_2_groupBR12_token
['BernoulliNB', 0.3186195826645265, 0.39561534628799205, 0.35296732607246056, 0.7405294589535609]
['RandomForestClassifier', 0.5641025641025641, 0.04384653712007972, 0.08136846971798428, 0.8228897406185934]
['BaggingClassifier', 0.569672131147541, 0.06925759840558046, 0.12350066637050199, 0.8241376236741242]
['ExtraTreesClassifier', 0.4409937888198758, 0.07075236671649228, 0.12194074710176042, 0.8177199393885373]
['DecisionTreeClassifier', 0.26835196888672824, 0.2750373692077728, 0.27165354330708663, 0.7361618682592032]
['CalibratedClassifierCV', 0.352, 0.06576980568011959, 0.11083123425692695, 0.8112131205989839]
['SGDClassifier', 0.31466666666666665, 0.05879422022919781, 0.09907640638119229, 0.8087173544879223]
['KNeighborsClassifier', 0.3771462403789224, 0.3173891380169407, 0.34469696969696967, 0.7841162313931723]
['MLPClassifier', 0.3700673724735322, 0.3831589436970603, 0.3764993880048959, 0.7729744183973616]
#### d. csv_2_groupBR12_bigramToken
['BernoulliNB', 0.30975197294250284, 0.5475834578973593, 0.3956795679567957, 0.7007754701845085]
['RandomForestClassifier', 0.703125, 0.06726457399103139, 0.1227830832196453, 0.8280595418486496]
['BaggingClassifier', 0.5842293906810035, 0.08121574489287493, 0.1426071741032371, 0.8252963722256885]
['ExtraTreesClassifier', 0.4434250764525994, 0.07224713502740408, 0.1242502142245073, 0.8178090738925038]
['DecisionTreeClassifier', 0.28051699377692674, 0.29197807673143994, 0.28613281249999994, 0.7393707104019966]
['CalibratedClassifierCV', 0.39948453608247425, 0.07722969606377678, 0.12943632567849686, 0.8141545592298779]
['SGDClassifier', 0.38078902229845624, 0.11061285500747384, 0.17142857142857143, 0.8087173544879223]
['KNeighborsClassifier', 0.3629032258064516, 0.2914798206278027, 0.32329372754904667, 0.7817095997860772]
['MLPClassifier', 0.3942671714440238, 0.3632286995515695, 0.3781120331950208, 0.786255459488368]
------------------------
# Fin
For the final time we take another csv(4) file this time. We had duplicates after grouping of BR's. This file is without any duplicate. Senteces were preprocessed as per need. 

### 1. Tf-idf Vectorizer
['BernoulliNB', 0.5918367346938775, 0.06636155606407322, 0.11934156378600821, 0.7979941002949853]
['RandomForestClassifier', 0.7438423645320197, 0.17276887871853547, 0.2804085422469824, 0.8171091445427728]
['BaggingClassifier', 0.4789687924016282, 0.40389016018306634, 0.4382371198013656, 0.7864306784660767]
['ExtraTreesClassifier', 0.6610576923076923, 0.15732265446224256, 0.2541589648798521, 0.8095575221238938]
['DecisionTreeClassifier', 0.3803650715342871, 0.44107551487414187, 0.408476821192053, 0.736519174041298]
['CalibratedClassifierCV', 0.680119581464873, 0.2602974828375286, 0.37649979313198184, 0.8221828908554573]
['SGDClassifier', 0.7720588235294118, 0.18020594965675057, 0.2922077922077922, 0.8199410029498525]
